# ----------------------------------------------------------------------------------------
# MC format:
#   Dataset ID | cross section [fb] | number of events | gen. filt. eff | physics name
# Data format:
#   Dataset ID | luminosity [pb-1] | Data
# ----------------------------------------------------------------------------------------

# ========================================================================================
# Data driven backgrounds
# ----------------------------------------------------------------------------------------
305369, 5.7007000e+05,    18000, 4.3075e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp035_mD10_gSp3_gD1
305370, 4.4085000e+05,    20000, 5.5524e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp045_mD10_gSp3_gD1
305371, 3.4618000e+05,    38000, 7.0253e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp055_mD10_gSp3_gD1
305372, 2.7644000e+05,    40000, 8.7430e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp065_mD10_gSp3_gD1
305373, 2.2408000e+05,    38000, 1.0585e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp075_mD10_gSp3_gD1
305374, 1.8414000e+05,    40000, 1.8414e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp085_mD10_gSp3_gD1

305465, 2.1460000e+04,    18000, 5.3732e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp25_mD10_gSp3_gD1
305466, 9.5638000e+03,    19000, 5.3122e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp25_mD10_gSp2_gD1
305467, 2.3890000e+03,    20000, 5.4253e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp25_mD10_gSp1_gD1
305468, 9.3290000e+03,    20000, 7.7183e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp35_mD10_gSp3_gD1
305469, 4.1545000e+03,    20000, 7.7010e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp35_mD10_gSp2_gD1
305470, 1.0395000e+03,    20000, 7.6581e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp35_mD10_gSp1_gD1
305471, 4.5275000e+03,    20000, 9.7105e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp45_mD10_gSp3_gD1
305472, 2.0138000e+03,    20000, 9.7843e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp45_mD10_gSp2_gD1
305474, 2.4540000e+03,    20000, 1.1434e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp55_mD10_gSp3_gD1
305475, 1.0898000e+03,    20000, 1.1447e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp55_mD10_gSp2_gD1
305476, 2.7253000e+02,    20000, 1.1440e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp55_mD10_gSp1_gD1
305477, 1.6083000e+03,    19000, 1.4187e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp75_mD10_gSp4_gD1
305478, 9.0620000e+02,    20000, 1.4086e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp75_mD10_gSp3_gD1
305479, 4.0165000e+02,    20000, 1.4288e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp75_mD10_gSp2_gD1
